city,comarca
Benicàssim,Plana Alta
Benidoleig,Marina Alta
Benidorm,Marina Baixa
Benifaio,Ribera Alta
Benifairó de la Valldigna,Safor
Benifairó de les Valls,Camp de Morvedre
Benifaió,Ribera Alta
Benifallim,Alcoià
Benifato,Marina Baixa
Benifla,Safor
Beniflá,Safor
Benigembla,Marina Alta
Benigànim,Vall d'Albaida
Benigánim,Vall d'Albaida
Benijófar,Baix Segura
Benilloba,Comtat
Benillup,Comtat
Benimantell,Marina Baixa
Benimarfull,Comtat
Benimassot,Comtat
Benimeli,Marina Alta
Benimodo,Ribera Alta
Benimuslem,Ribera Alta
Beniparrell,Horta Sud
Benirredrà,Safor
Benisanó,Camp de Túria
Benissa,Marina Alta
Benissanó,Camp de Túria
Benissoda,Vall d'Albaida
Benissuera,Vall d'Albaida
Benisuera,Vall d'Albaida
Benlloc,Plana Alta
Benlloch,Plana Alta
Betxí,Plana Baixa
Biar,Alt Vinalopó
Bicorp,Canal de Navarrés
Bigastro,Baix Segura
Bocairent,Vall d'Albaida
Bolbaite,Canal de Navarrés
Bolulla,Marina Baixa
Bonrepòs i Mirambell,Horta Nord
Borriana,Plana Baixa
Borriol,Plana Alta
Bufali,Vall d'Albaida
Bugarra,Serrans
Burjassot,Horta Nord
Busot,Alacantí
Buñol,Foia de Bunyol
Bèlgida,Vall d'Albaida
Bétera,Camp de Túria
Cabanes,Plana Alta
Calles,Serrans
Callosa d'En Sarriá,Marina Baixa
Callosa d'en Sarrià,Marina Baixa
Callosa de Segura,Baix Segura
Calp,Marina Alta
"Camp de Mirra, el",Alt Vinalopó
"Campello, el",Alacantí
Camporrobles,Plana d'Utiel
Canals,Costera
Canet d'En Berenguer,Camp de Morvedre
Canet d'en Berenguer,Camp de Morvedre
Canet lo Roig,Baix Maestrat
Carcaixent,Ribera Alta
Carlet,Ribera Alta
Carrícola,Vall d'Albaida
Casas Altas,Racó d'Ademús
Casas Bajas,Racó d'Ademús
Casinos,Camp de Túria
Castalla,Alcoià
Castell de Cabres,Baix Maestrat
Castell de Castells,Marina Alta
"Castell de Guadalest, el",Marina Baixa
Castellfort,Ports
Castellnovo,Alt Palància
Castellonet de la Conquesta,Safor
Castelló,Plana Alta
Castelló de Rugat,Vall d'Albaida
Castelló de la Plana,Plana Alta
Castielfabib,Racó d'Ademús
Castillo de Villamalefa,Alt Millars
Catadau,Ribera Alta
Catarroja,Horta Sud
Catral,Baix Segura
Catí,Alt Maestrat
Caudete de las Fuentes,Plana d'Utiel
Caudiel,Alt Palància
Cañada,Alt Vinalopó
Cerdà,Costera
Cerdá,Costera
Cervera del Maestre,Baix Maestrat
Chella,Canal de Navarrés
Chelva,Serrans
Chera,Serrans
Cheste,Foia de Bunyol
Chilches,Plana Baixa
Chiva,Foia de Bunyol
Chulilla,Serrans
Chóvar,Alt Palància
Cinctorres,Ports
Cirat,Alt Millars
Cocentaina,Comtat
Cofrentes,Vall de Cofrents-Aiora
Confrides,Marina Baixa
Corbera,Ribera Baixa
Cortes de Arenoso,Alt Millars
Cortes de Pallás,Canal de Navarrés
Costur,Alcalatén
Cotes,Ribera Alta
"Coves de Vinromà, les",Alt Maestrat
Coves de Vinromá (Les),Alt Maestrat
Cox,Baix Segura
Crevillent,Baix Vinalopó
Culla,Alt Maestrat
Cullera,Ribera Baixa
Càlig,Baix Maestrat
Càrcer,Ribera Alta
Cálig,Baix Maestrat
Daimús,Safor
Daya Nueva,Baix Segura
Daya Vieja,Baix Segura
Dolores,Baix Segura
Domeño,Serrans
Dos Aguas,Foia de Bunyol
Dénia,Marina Alta
Elda,Vinalopó Mitjà
Eliana (L'),Camp de Túria
"Eliana, l'",Camp de Túria
Elx,Baix Vinalopó
Emperador,Horta Nord
Enguera,Canal de Navarrés
Eslida,Plana Baixa
Espadilla,Alt Millars
Estivella,Camp de Morvedre
Estubeny,Costera
Facheca,Comtat
Fageca,Comtat
Famorca,Comtat
Fanzara,Alt Millars
Faura,Camp de Morvedre
Favara,Ribera Baixa
Figueroles,Alcalatén
Finestrat,Marina Baixa
Foios,Horta Nord
"Fondó de les Neus, el",Vinalopó Mitjà
"Font d'en Carròs, la",Safor
Font de la Figuera (La),Costera
"Font de la Figuera, la",Costera
Fontanars dels Alforins,Vall d'Albaida
Forcall,Ports
Formentera del Segura,Baix Segura
Fortaleny,Ribera Baixa
Fuente la Reina,Alt Millars
Fuenterrobles,Plana d'Utiel
Fuentes de Ayódar,Alt Millars
Gaianes,Comtat
Gaibiel,Alt Palància
Gandia,Safor
Gata de Gorgos,Marina Alta
Gatova,Alt Palància
Gavarda,Ribera Alta
Geldo,Alt Palància
Genovés,Costera
"Genovés, el",Costera
Gestalgar,Serrans
Gilet,Camp de Morvedre
Godella,Horta Nord
Godelleta,Foia de Bunyol
Gorga,Comtat
Granja de Rocamora,Baix Segura
Granja de la Costera (La),Costera
"Granja de la Costera, la",Costera
Guadasequies,Vall d'Albaida
Guadassuar,Ribera Alta
Guadasséquies,Vall d'Albaida
Guardamar de la Safor,Safor
Guardamar del Segura,Baix Segura
Gátova,Alt Palància
Herbers,Ports
Herbés,Ports
Higueras,Alt Palància
Higueruelas,Serrans
Hondón de los Frailes,Vinalopó Mitjà
Ibi,Alcoià
Jacarilla,Baix Segura
Jalance,Vall de Cofrents-Aiora
"Jana, la",Baix Maestrat
Jarafuel,Vall de Cofrents-Aiora
Jérica,Alt Palància
Llanera de Ranes,Costera
Llaurí,Ribera Baixa
Llocnou d'En Fenollet,Costera
Llocnou de Sant Jeroni,Safor
Llocnou de la Corona,Horta Sud
Llombai,Ribera Alta
Llosa (La),Plana Baixa
"Llosa de Ranes, la",Costera
"Llosa, la",Plana Baixa
Llucena,Alcalatén
Llutxent,Vall d'Albaida
Llíber,Marina Alta
Llíria,Camp de Túria
Loriguilla,Serrans
Losa del Obispo,Serrans
Lucena del Cid,Alcalatén
Ludiente,Alt Millars
Macastre,Foia de Bunyol
Manises,Horta Sud
Manuel,Ribera Alta
Marines,Camp de Túria
MasSanassa,Horta Sud
Massalavés,Ribera Alta
Massalfassar,Horta Nord
Massamagrell,Horta Nord
Massanassa,Horta Sud
"Mata de Morella, la",Ports
Matet,Alt Palància
Meliana,Horta Nord
Millares,Canal de Navarrés
Millena,Comtat
Miramar,Safor
Mislata,Horta Sud
Moixent,Costera
Moncada,Horta Nord
Moncofa,Plana Baixa
Monforte del Cid,Vinalopó Mitjà
Montanejos,Alt Millars
Montaverner,Vall d'Albaida
Montesa,Costera
Montesinos (los),Baix Segura
"Montesinos, Los",Baix Segura
Montitxelvo,Vall d'Albaida
Montroi,Ribera Alta
Montroy,Ribera Alta
Montserrat,Ribera Alta
Montán,Alt Millars
Monòver,Vinalopó Mitjà
Morella,Ports
Murla,Marina Alta
Muro de Alcoy,Comtat
Museros,Horta Nord
Mutxamel,Alacantí
Navajas,Alt Palància
Navarrés,Canal de Navarrés
Novelda,Vinalopó Mitjà
Novetlè,Costera
"Nucia, la",Marina Baixa
Nules,Plana Baixa
Nàquera,Camp de Túria
Náquera,Camp de Túria
Oliva,Safor
Olleria (L'),Vall d'Albaida
"Olleria, l'",Vall d'Albaida
Olocau,Camp de Túria
Olocau del Rey,Ports
Onda,Plana Baixa
Ondara,Marina Alta
Onil,Alcoià
Ontinyent,Vall d'Albaida
Orba,Marina Alta
Oriola,Baix Segura
Orpesa,Plana Alta
"Orxa, l'",Comtat
Orxeta,Marina Baixa
Otos,Vall d'Albaida
Paiporta,Horta Sud
Palanques,Ports
Palma de Gandía,Safor
Palmera,Safor
"Palomar, el",Vall d'Albaida
Parcent,Marina Alta
Paterna,Horta Nord
Pavías,Alt Palància
Pedralba,Serrans
Pedreguer,Marina Alta
Pego,Marina Alta
Penàguila,Alcoià
Penáguila,Alcoià
Peníscola,Baix Maestrat
Petrer,Vinalopó Mitjà
Petrés,Camp de Morvedre
Peñíscola,Baix Maestrat
Picanya,Horta Sud
Picassent,Horta Sud
Pilar de la Horadada,Baix Segura
Piles,Safor
Pina de Montalgrao,Alt Palància
Pinet,Vall d'Albaida
"Pinós, el",Vinalopó Mitjà
Planes,Comtat
Pobla Llarga (La),Ribera Alta
"Pobla Llarga, la",Ribera Alta
Pobla Tornesa (La),Plana Alta
"Pobla Tornesa, la",Plana Alta
"Pobla de Benifassà, la",Baix Maestrat
"Pobla de Farnals, la",Horta Nord
Pobla de Vallbona (La),Camp de Túria
"Pobla de Vallbona, la",Camp de Túria
Pobla del Duc (La),Vall d'Albaida
"Pobla del Duc, la",Vall d'Albaida
"Poble Nou de Benitatxell, el",Marina Alta
Poblets (els),Marina Alta
"Poblets, els",Marina Alta
Polinyà de Xúquer,Ribera Baixa
Polop,Marina Baixa
Portell de Morella,Ports
Potries,Safor
Potríes,Safor
Puebla de Arenoso,Alt Millars
Puebla de San Miguel,Racó d'Ademús
Puig,Horta Nord
"Puig de Santa Maria, el",Horta Nord
Puçol,Horta Nord
Quart de Poblet,Horta Sud
Quart de les Valls,Camp de Morvedre
Quartell,Camp de Morvedre
Quatretonda,Vall d'Albaida
Quatretondeta,Comtat
Quesa,Canal de Navarrés
Rafal,Baix Segura
Rafelbunyol,Horta Nord
Rafelcofer,Safor
Rafelguaraf,Ribera Alta
Rafol de Salem,Vall d'Albaida
Real,Ribera Alta
"Real de Gandia, el",Safor
Real de Gandía,Safor
Redován,Baix Segura
Relleu,Marina Baixa
Requena,Plana d'Utiel
Riba-roja de Túria,Camp de Túria
Ribesalbes,Plana Baixa
Riola,Ribera Baixa
Rocafort,Horta Nord
Rojals,Baix Segura
Romana (La),Vinalopó Mitjà
"Romana, la",Vinalopó Mitjà
Rossell,Baix Maestrat
Rotglà i Corberà,Costera
Rugat,Vall d'Albaida
"Ràfol d'Almúnia, el",Marina Alta
Ráfol de Salem,Vall d'Albaida
Ròtova,Safor
Rótova,Safor
Sacañet,Alt Palància
Sagra,Marina Alta
Sagunt,Camp de Morvedre
Salem,Vall d'Albaida
Salinas,Alt Vinalopó
"Salzadella, la",Baix Maestrat
San Antonio de Benagéber,Camp de Túria
San Fulgenci,Baix Segura
San Isidro,Baix Segura
San Miguel de Salinas,Baix Segura
San Rafael del Río,Baix Maestrat
Sanet y Negrals,Marina Alta
Sant Joan d'Alacant,Alacantí
Sant Joan de Moró,Plana Alta
Sant Joanet,Ribera Alta
Sant Jordi,Baix Maestrat
Sant Mateu,Baix Maestrat
Sant Vicent del Raspeig,Alacantí
Santa Magdalena de Pulpis,Baix Maestrat
Santa Pola,Baix Vinalopó
Sarratella,Alt Maestrat
Sax,Alt Vinalopó
Sedaví,Horta Sud
Segart,Camp de Morvedre
Segorbe,Alt Palància
Sella,Marina Baixa
Sellent,Ribera Alta
Sempere,Vall d'Albaida
Senija,Marina Alta
Senyera,Ribera Alta
Serra,Camp de Túria
"Serratella, la",Alt Maestrat
Sierra Engarcerán,Plana Alta
Siete Aguas,Foia de Bunyol
Silla,Horta Sud
Simat de la Valldigna,Safor
Sinarcas,Plana d'Utiel
Sollana,Ribera Baixa
Soneja,Alt Palància
Sot de Chera,Serrans
Sot de Ferrer,Alt Palància
Sueca,Ribera Baixa
Suera,Plana Baixa
Sumacàrcer,Ribera Alta
Tales,Plana Baixa
Tavernes Blanques,Horta Nord
Tavernes de la Valldigna,Safor
Teresa,Alt Palància
Teresa de Cofrentes,Vall de Cofrents-Aiora
Terrateig,Vall d'Albaida
Teulada,Marina Alta
Tibi,Alcoià
Titaguas,Serrans
Todolella,Ports
Toga,Alt Millars
Tollos,Comtat
Tormos,Marina Alta
Toro (El),Alt Palància
"Toro, El",Alt Palància
Torralba del Pinar,Alt Millars
Torre d'En Besora (La),Alt Maestrat
"Torre d'en Besora, la",Alt Maestrat
"Torre d'en Doménec, la",Alt Maestrat
"Torre de les Maçanes, la",Alacantí
Torrebaja,Racó d'Ademús
Torreblanca,Plana Alta
Torrechiva,Alt Millars
Torrella,Costera
Torrent,Horta Sud
Torres Torres,Camp de Morvedre
Torrevella,Baix Segura
Torás,Alt Palància
Tous,Canal de Navarrés
Traiguera,Baix Maestrat
Turís,Ribera Alta
Tuéjar,Serrans
Tàrbena,Marina Baixa
Tárbena,Marina Baixa
Tírig,Alt Maestrat
"Useres, les",Alcalatén
Utiel,Plana d'Utiel
Vall d'Alba,Plana Alta
"Vall d'Alcalà, la",Marina Alta
"Vall d'Ebo, la",Marina Alta
"Vall d'Uixó, la",Plana Baixa
Vall de AlmonaCid,Alt Palància
Vall de Almonacid,Alt Palància
Vall de Gallinera,Marina Alta
"Vall de Gallinera, la",Marina Alta
"Vall de Laguar, la",Marina Alta
Vallada,Costera
Vallanca,Racó d'Ademús
Vallat,Alt Millars
Vallibona,Ports
Vallés,Costera
València,València
Venta del Moro,Plana d'Utiel
"Verger, el",Marina Alta
"Vila Joiosa, la",Marina Baixa
Vila-real,Plana Baixa
Vilafamés,Plana Alta
Vilafranca,Ports
Vilallonga,Safor
Vilamarxant,Camp de Túria
Vilanova d'Alcolea,Alt Maestrat
Vilar de Canes,Alt Maestrat
"Vilavella, la",Plana Baixa
Villahermosa del Río,Alt Millars
Villalonga,Safor
Villamalur,Alt Millars
Villanueva de Viver,Alt Millars
Villar del Arzobispo,Serrans
Villargordo del Cabriel,Plana d'Utiel
Villena,Alt Vinalopó
Villores,Ports
Vinalesa,Horta Nord
Vinaròs,Baix Maestrat
Vinarós,Baix Maestrat
Vistabella del Maestrat,Alt Maestrat
Vistabella del Maestrazgo,Alt Palància
Viver,Alt Palància
Xaló,Marina Alta
Xeraco,Safor
Xeresa,Safor
Xert,Baix Maestrat
Xirivella,Horta Sud
Xixona,Alacantí
Xodos,Alcalatén
Xàbia,Marina Alta
Xàtiva,Costera
"Yesa, La",Serrans
Yátova,Foia de Bunyol
Zarra,Vall de Cofrents-Aiora
Zorita del Maestrazgo,Ports
Zucaina,Alt Millars
Ènova (L'),Ribera Alta
"Énova, l'",Ribera Alta
